"filename", "language", "Markdown", "HTML", "SCSS", "JavaScript", "Vue", "JSON", "YAML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\rainie\Documents\my_vue_project\myblog\.eslintrc.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\rainie\Documents\my_vue_project\myblog\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\rainie\Documents\my_vue_project\myblog\babel.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\rainie\Documents\my_vue_project\myblog\package-lock.json", "JSON", 0, 0, 0, 0, 0, 12515, 0, 0, 0, 0, 1, 12516
"c:\Users\rainie\Documents\my_vue_project\myblog\package.json", "JSON", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
"c:\Users\rainie\Documents\my_vue_project\myblog\public\index.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\rainie\Documents\my_vue_project\myblog\src\App.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\rainie\Documents\my_vue_project\myblog\src\api\api.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\rainie\Documents\my_vue_project\myblog\src\api\article.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 7, 9, 66
"c:\Users\rainie\Documents\my_vue_project\myblog\src\api\user.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\demo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 435, 0, 19, 86, 540
"c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\demo_index.html", "HTML", 0, 836, 0, 0, 0, 0, 0, 0, 0, 2, 115, 953
"c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 37, 154
"c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.json", "JSON", 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 1, 248
"c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 53, 3, 73, 129
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 3, 61
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\MarkdownEditor.vue", "Vue", 0, 0, 0, 0, 37, 0, 0, 0, 0, 16, 10, 63
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\SvgIcon\index.vue", "Vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 5, 63
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\articleTag.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\login.vue", "Vue", 0, 0, 0, 0, 171, 0, 0, 0, 0, 28, 20, 219
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\moreAction.vue", "Vue", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\otherBlogInfo.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 0, 1, 2, 62
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\publishArticle.vue", "Vue", 0, 0, 0, 0, 132, 0, 0, 0, 0, 1, 8, 141
"c:\Users\rainie\Documents\my_vue_project\myblog\src\components\settings.vue", "Vue", 0, 0, 0, 0, 215, 0, 0, 0, 0, 2, 7, 224
