Date : 2020-12-07 21:05:45
Directory : c:\Users\rainie\Documents\my_vue_project\myblog
Total : 79 files,  17737 codes, 279 comments, 680 blanks, all 18696 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     12,806 |          0 |          3 |     12,809 |
| Vue        |         26 |      2,491 |        129 |        180 |      2,800 |
| HTML       |          2 |        852 |          3 |        116 |        971 |
| JavaScript |         21 |        688 |         70 |        107 |        865 |
| CSS        |          4 |        554 |         19 |        123 |        696 |
| SCSS       |          7 |        255 |         42 |         68 |        365 |
| XML        |         12 |         64 |          3 |         73 |        140 |
| Markdown   |          1 |         22 |          0 |          5 |         27 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         79 |     17,737 |        279 |        680 |     18,696 |
| public                                                                                    |          1 |         16 |          1 |          1 |         18 |
| src                                                                                       |         72 |      5,005 |        256 |        658 |      5,919 |
| src\api                                                                                   |          3 |         90 |          7 |         15 |        112 |
| src\assets                                                                                |          6 |      1,689 |         24 |        312 |      2,025 |
| src\assets\icons                                                                          |          6 |      1,689 |         24 |        312 |      2,025 |
| src\components                                                                            |          9 |        800 |         49 |         61 |        910 |
| src\components\SvgIcon                                                                    |          1 |         57 |          1 |          5 |         63 |
| src\icons                                                                                 |         13 |         22 |         14 |          8 |         44 |
| src\icons\svg                                                                             |         11 |         11 |          0 |          0 |         11 |
| src\layout                                                                                |          6 |        510 |         28 |         41 |        579 |
| src\layout\components                                                                     |          4 |        347 |         14 |         30 |        391 |
| src\layout\components\sideBar                                                             |          3 |        209 |          8 |         10 |        227 |
| src\layout\mixin                                                                          |          1 |         51 |          2 |          4 |         57 |
| src\router                                                                                |          1 |         67 |          2 |         12 |         81 |
| src\store                                                                                 |          4 |        170 |          4 |         18 |        192 |
| src\store\modules                                                                         |          2 |        148 |          4 |         15 |        167 |
| src\styles                                                                                |          7 |        255 |         42 |         68 |        365 |
| src\theme                                                                                 |          4 |          4 |          0 |          0 |          4 |
| src\theme\element_default                                                                 |          2 |          2 |          0 |          0 |          2 |
| src\theme\element_default\theme                                                           |          1 |          1 |          0 |          0 |          1 |
| src\theme\green                                                                           |          2 |          2 |          0 |          0 |          2 |
| src\theme\green\theme                                                                     |          1 |          1 |          0 |          0 |          1 |
| src\utils                                                                                 |          4 |        104 |         21 |         23 |        148 |
| src\views                                                                                 |         11 |      1,216 |         54 |         80 |      1,350 |
| src\views\error-page                                                                      |          2 |         22 |          0 |         10 |         32 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\rainie\Documents\my_vue_project\myblog\.eslintrc.js                              | JavaScript |         19 |          0 |          1 |         20 |
| c:\Users\rainie\Documents\my_vue_project\myblog\README.md                                 | Markdown   |         22 |          0 |          5 |         27 |
| c:\Users\rainie\Documents\my_vue_project\myblog\babel.config.js                           | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\rainie\Documents\my_vue_project\myblog\package-lock.json                         | JSON       |     12,515 |          0 |          1 |     12,516 |
| c:\Users\rainie\Documents\my_vue_project\myblog\package.json                              | JSON       |         42 |          0 |          1 |         43 |
| c:\Users\rainie\Documents\my_vue_project\myblog\public\index.html                         | HTML       |         16 |          1 |          1 |         18 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\App.vue                               | Vue        |         16 |          0 |          2 |         18 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\api\api.js                            | JavaScript |          8 |          0 |          2 |         10 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\api\article.js                        | JavaScript |         50 |          7 |          9 |         66 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\api\user.js                           | JavaScript |         32 |          0 |          4 |         36 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\demo.css                 | CSS        |        435 |         19 |         86 |        540 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\demo_index.html          | HTML       |        836 |          2 |        115 |        953 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.css             | CSS        |        117 |          0 |         37 |        154 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.js              | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.json            | JSON       |        247 |          0 |          1 |        248 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\assets\icons\iconfont.svg             | XML        |         53 |          3 |         73 |        129 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\HelloWorld.vue             | Vue        |         58 |          0 |          3 |         61 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\MarkdownEditor.vue         | Vue        |         37 |         16 |         10 |         63 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\SvgIcon\index.vue          | Vue        |         57 |          1 |          5 |         63 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\articleTag.vue             | Vue        |          0 |          0 |          1 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\login.vue                  | Vue        |        171 |         28 |         20 |        219 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\moreAction.vue             | Vue        |         71 |          0 |          5 |         76 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\otherBlogInfo.vue          | Vue        |         59 |          1 |          2 |         62 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\publishArticle.vue         | Vue        |        132 |          1 |          8 |        141 |
